ID,date,yield,conductivity,bacteria,gram,type,rum_index_seconds,water_intake_liter,Event
5211,2024-01-26,28.3,9.8,CON,P,C,28278.875,52.93000000000001,[]
5288,2024-01-26,67.2,8.6,CON,P,C,32248.5,18.3,[]
5449,2024-01-27,24.0,9.6,CON,P,C,34661.0,0.0,[]
5607,2024-01-27,50.9,10.0,MBG,P,C,27610.583333333332,20.8,[]
6190,2024-01-26,91.9,9.7,MBG,P,C,25095.083333333332,27.770000000000003,[]
6422,2024-01-26,20.6,11.9,MBG,P,C,27843.916666666668,0.0,[]
6954,2024-01-26,57.6,9.0,MBG,P,C,33249.541666666664,0.0,[]
6965,2024-01-26,,8.8,MBG,P,C,29896.541666666668,37.370000000000005,[]
7038,2024-01-26,54.0,9.0,SC,P,E,29883.458333333332,16.48,[]
7056,2024-01-26,24.3,9.3,SD,P,E,28041.041666666668,43.01,['LAB']
7146,2024-01-26,28.7,8.3,CON,P,C,34784.458333333336,32.239999999999995,[]
7168,2024-01-26,53.7,9.2,MBG,P,C,27824.375,20.67,[]
7285,2024-01-26,40.4,8.8,CON,P,C,29196.25,0.0,[]
7289,2024-01-27,38.7,9.9,MBG,P,C,25090.291666666668,44.08,[]
8068,2024-01-26,52.5,8.6,CON,P,C,29532.166666666668,0.0,[]
8468,2024-01-26,48.1,8.7,CON,P,C,31619.125,0.0,[]
9119,2024-01-26,22.4,9.8,SC,P,E,30444.541666666668,7.33,[]
9181,2024-01-26,,9.9,SD,P,E,28944.791666666668,28.92,[]
9565,2024-01-26,81.6,8.2,Coryne,P,E,27419.291666666668,20.3,[]
9575,2024-01-26,67.2,8.0,MBG,P,C,26316.916666666668,28.64,[]
50068,2024-01-26,78.9,9.4,CON,P,C,32462.958333333332,39.21,[]
50130,2024-01-26,37.4,8.0,MBG,P,C,27424.458333333332,31.41,[]
50142,2024-01-26,35.6,8.8,MBG,P,C,26701.958333333332,0.0,[]
2400,2024-01-27,57.5,9.1,CON,P,C,31668.583333333332,0.0,[]
3990,2024-01-27,31.8,9.5,MBG,P,C,26879.916666666668,17.89,[]
4192,2024-01-28,40.4,10.0,CON,P,C,34965.333333333336,30.61,[]
4232,2024-01-27,62.2,9.2,SA,P,C,29073.833333333332,39.84,[]
4384,2024-01-27,59.8,9.9,MBG,P,C,27531.083333333332,17.02,[]
4468,2024-01-27,,,CON,P,C,32966.416666666664,0.0,[]
4737,2024-01-27,,9.0,CON,P,C,26307.666666666668,0.0,[]
4889,2024-01-27,58.7,8.5,CON,P,C,27696.75,0.0,[]
5110,2024-01-27,23.1,9.1,MBG,P,C,29756.958333333332,22.700000000000003,[]
5211,2024-01-27,54.9,9.7,CON,P,C,27468.291666666668,27.78,['LAB']
5288,2024-01-27,63.0,8.7,CON,P,C,29672.166666666668,0.0,[]
5449,2024-01-28,25.3,9.6,CON,P,C,33108.583333333336,0.0,[]
5607,2024-01-28,50.0,9.8,MBG,P,C,26466.541666666668,10.47,[]
6190,2024-01-27,53.6,9.4,MBG,P,C,22097.583333333332,40.36,[]
6422,2024-01-27,21.1,11.7,MBG,P,C,29585.583333333332,18.19,[]
6954,2024-01-27,,9.1,MBG,P,C,33307.583333333336,26.39,[]
6965,2024-01-27,47.8,8.9,MBG,P,C,31725.25,46.45,[]
7038,2024-01-27,57.0,9.1,SC,P,E,28052.291666666668,36.230000000000004,[]
7056,2024-01-27,,9.3,SD,P,E,28971.666666666668,0.0,[]
7146,2024-01-27,61.5,8.4,CON,P,C,37519.541666666664,16.79,[]
7168,2024-01-27,54.3,9.1,MBG,P,C,27081.833333333332,0.0,[]
7285,2024-01-27,44.9,8.9,CON,P,C,28177.0,0.0,[]
7289,2024-01-28,17.6,9.7,MBG,P,C,23988.791666666668,0.0,[]
8068,2024-01-27,23.1,8.6,CON,P,C,30528.833333333332,21.56,[]
8468,2024-01-27,48.2,8.7,CON,P,C,31786.416666666668,17.53,[]
9119,2024-01-27,47.2,9.8,SC,P,E,29964.75,7.97,[]
9181,2024-01-27,,,SD,P,E,29430.708333333332,0.0,[]
9565,2024-01-27,49.5,8.2,Coryne,P,E,26622.041666666668,0.0,[]
9575,2024-01-27,44.7,8.0,MBG,P,C,20139.25,0.0,[]
50068,2024-01-27,60.9,9.4,CON,P,C,32248.5,29.45,[]
50130,2024-01-27,35.8,8.1,MBG,P,C,27415.958333333332,0.0,[]
50142,2024-01-27,32.5,8.8,MBG,P,C,26079.833333333332,24.59,[]
2400,2024-01-28,61.0,9.0,CON,P,C,29636.166666666668,0.0,[]
3990,2024-01-28,60.4,9.5,MBG,P,C,27040.375,0.0,[]
4192,2024-01-29,64.6,9.9,CON,P,C,33484.041666666664,16.9,['LAB']
4232,2024-01-28,58.1,9.2,SA,P,C,27097.916666666668,0.0,[]
4384,2024-01-28,67.3,9.9,MBG,P,C,26916.125,23.98,[]
4468,2024-01-28,,,CON,P,C,33070.625,0.0,[]
4737,2024-01-28,40.2,9.0,CON,P,C,23045.458333333332,13.14,[]
4889,2024-01-28,23.3,8.6,CON,P,C,25318.916666666668,0.0,[]
5110,2024-01-28,70.0,9.1,MBG,P,C,29934.291666666668,12.73,[]
5211,2024-01-28,49.5,9.6,CON,P,C,29271.166666666668,41.879999999999995,[]
5288,2024-01-28,62.0,8.8,CON,P,C,31364.5,21.89,[]
5449,2024-01-29,86.9,9.5,CON,P,C,34614.75,17.43,[]
5607,2024-01-29,77.6,9.7,MBG,P,C,28495.75,25.65,['LAB']
6190,2024-01-28,27.2,9.0,MBG,P,C,23427.333333333332,0.0,[]
6422,2024-01-28,43.7,11.5,MBG,P,C,31579.916666666668,0.0,[]
6954,2024-01-28,57.4,9.1,MBG,P,C,35293.166666666664,24.64,[]
6965,2024-01-28,52.9,8.9,MBG,P,C,33708.5,19.52,[]
7038,2024-01-28,52.0,9.1,SC,P,E,29378.791666666668,21.08,[]
7056,2024-01-28,25.4,9.3,SD,P,E,28388.25,0.0,[]
7146,2024-01-28,59.4,8.3,CON,P,C,37098.708333333336,9.8,[]
7168,2024-01-28,55.5,9.1,MBG,P,C,27910.208333333332,0.0,[]
7285,2024-01-28,47.0,8.8,CON,P,C,24239.541666666668,12.2,[]
7289,2024-01-29,54.7,9.5,MBG,P,C,26109.75,16.9,['LAB']
8068,2024-01-28,46.1,8.6,CON,P,C,30567.458333333332,0.0,[]
8468,2024-01-28,41.8,8.7,CON,P,C,29436.708333333332,45.370000000000005,[]
9119,2024-01-28,49.4,9.8,SC,P,E,27834.416666666668,82.67,[]
9181,2024-01-28,,9.7,SD,P,E,29512.583333333332,27.049999999999997,[]
9565,2024-01-28,47.6,8.1,Coryne,P,E,24260.291666666668,0.0,[]
9575,2024-01-28,37.1,8.1,MBG,P,C,17644.5,0.0,['LAB']
50068,2024-01-28,73.8,9.4,CON,P,C,32151.375,0.0,[]
50130,2024-01-28,37.4,8.1,MBG,P,C,28269.125,16.35,[]
50142,2024-01-28,30.4,8.8,MBG,P,C,27596.416666666668,0.0,[]
2400,2024-01-29,64.4,9.1,CON,P,C,28656.583333333332,0.0,['LAB']
3990,2024-01-29,92.1,9.5,MBG,P,C,25637.958333333332,12.74,[]
4192,2024-01-30,46.2,9.7,CON,P,C,31804.916666666668,45.65,[]
4232,2024-01-29,88.4,9.2,SA,P,C,24284.583333333332,0.0,[]
4384,2024-01-29,64.8,10.2,MBG,P,C,27287.916666666668,39.71,['LAB']
4468,2024-01-29,,,CON,P,C,30000.541666666668,36.769999999999996,[]
4737,2024-01-29,18.8,9.0,CON,P,C,25358.166666666668,9.0,['LAB']
4889,2024-01-29,78.0,8.6,CON,P,C,23030.25,0.0,"['LAB', 'LAME']"
5110,2024-01-29,99.2,9.1,MBG,P,C,25596.708333333332,0.0,['LAB']
5211,2024-01-29,86.2,9.6,CON,P,C,33717.083333333336,28.5,['LAB']
5288,2024-01-29,95.0,8.8,CON,P,C,27168.208333333332,0.0,['LAB']
5449,2024-01-30,56.4,9.4,CON,P,C,34668.666666666664,0.0,[]
5607,2024-01-30,52.5,9.5,MBG,P,C,28512.166666666668,15.14,[]
6190,2024-01-29,60.2,8.8,MBG,P,C,30111.583333333332,0.0,['LAB']
6422,2024-01-29,45.5,11.4,MBG,P,C,24272.25,0.0,[]
6954,2024-01-29,68.0,9.1,MBG,P,C,32016.958333333332,29.700000000000003,[]
6965,2024-01-29,71.0,8.9,MBG,P,C,30025.333333333332,21.41,[]
7038,2024-01-29,81.1,9.1,SC,P,E,28209.291666666668,16.95,['LAB']
7056,2024-01-29,61.1,9.2,SD,P,E,28036.833333333332,12.9,[]
7146,2024-01-29,87.7,8.3,CON,P,C,34127.75,25.7,[]
7168,2024-01-29,88.1,9.0,MBG,P,C,28025.625,13.78,['LAB']
7285,2024-01-29,73.5,8.8,CON,P,C,28349.791666666668,0.0,['LAB']
7289,2024-01-30,38.0,9.5,MBG,P,C,24924.875,20.06,[]
8068,2024-01-29,69.2,8.6,CON,P,C,24663.416666666668,0.0,['LAB']
8468,2024-01-29,67.2,8.6,CON,P,C,28636.375,54.55,['LAB']
9119,2024-01-29,72.8,9.7,SC,P,E,28428.541666666668,52.72,['LAB']
9181,2024-01-29,72.4,9.7,SD,P,E,28063.166666666668,0.0,['LAB']
9565,2024-01-29,70.7,8.1,Coryne,P,E,19851.458333333332,0.0,['LAB']
9575,2024-01-29,59.1,8.1,MBG,P,C,22197.0,57.95,['LAB']
50068,2024-01-29,113.0,9.6,CON,P,C,29267.416666666668,0.0,[]
50130,2024-01-29,51.0,8.1,MBG,P,C,26106.333333333332,19.45,[]
50142,2024-01-29,47.5,8.8,MBG,P,C,24638.916666666668,0.0,[]
2400,2024-01-30,54.7,9.0,CON,P,C,33815.291666666664,17.31,[]
3990,2024-01-30,64.7,9.5,MBG,P,C,24738.708333333332,38.88,[]
4192,2024-01-31,24.0,9.6,CON,P,C,35967.416666666664,0.0,[]
4232,2024-01-30,27.5,9.2,SA,P,C,27059.083333333332,0.0,[]
4384,2024-01-30,61.2,10.1,MBG,P,C,26784.0,28.18,[]
4468,2024-01-30,,,CON,P,C,29345.083333333332,20.509999999999998,[]
4737,2024-01-30,5.6,9.0,CON,P,C,30012.291666666668,0.0,[]
4889,2024-01-30,24.8,8.6,CON,P,C,24159.25,22.79,[]
5110,2024-01-30,63.7,9.2,MBG,P,C,28373.083333333332,37.37,[]
5211,2024-01-30,51.0,9.7,CON,P,C,34058.75,39.59,[]
5288,2024-01-30,54.7,8.8,CON,P,C,26132.25,20.23,[]
5449,2024-01-31,27.0,9.4,CON,P,C,32750.791666666668,0.0,[]
5607,2024-01-31,55.5,9.5,MBG,P,C,30339.791666666668,34.17,[]
6190,2024-01-30,42.8,8.8,MBG,P,C,27507.833333333332,0.0,[]
6422,2024-01-30,43.3,11.2,MBG,P,C,26656.75,23.77,['LAB']
